id	name	english	cns	ins	func	usage_scope	max_dosage
189	乳酸钾	potassium lactate	15.011	326	水分保持剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
191	乳酸钠	sodium lactate	15.012	325	水分保持剂、酸度调节剂、抗氧化剂、膨松剂、增稠剂、稳定剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	≤2.4 g/kg；部分类别按生产需要适量使用
192	乳酸脂肪酸甘油酯	lactic and fatty acid esters of glycerol	10.031	472b	乳化剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	≤5 g/kg；部分类别按生产需要适量使用
193	乳糖醇（又名4－β－D吡喃半乳糖－D－山梨醇）	lactitol	19.014	966	乳化剂、稳定剂、增稠剂、甜味剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
194	乳糖酶	lactase	00.023	—	其他	—、稀奶油、调制乳、调制炼乳、调制稀奶油、风味发酵乳、稀奶油类似品、调制乳粉和调制奶油粉	部分类别按生产需要适量使用
196	三赞胶	sanzan gum	20.047	—	增稠剂、稳定剂、凝固剂	果蔬汁、调制乳、风味饮料、肉灌肠类、果蔬固体饮料、植物蛋白饮料、风味固体饮料、复合蛋白饮料等	0.5~5 g/kg
197	桑椹红	mulberry red	08.129	—	着色剂	果酒、果冻、糖果、果糕类、果蔬汁、风味饮料、胶基糖果、果蔬固体饮料等	1.5~5 g/kg
198	沙蒿胶	rtemisia gum (sa-hao seed gum)	20.037	—	增稠剂	肉丸类、杂粮罐头、肉灌肠类、杂粮制品、西式火腿、调理肉制品、生干面制品、预制肉制品等	0.3~0.5 g/kg
199	沙棘黄	hippophae rhamnoides yellow	08.124	—	着色剂	氢化植物油、糕点上彩装	1~1.5 g/kg
202	山梨糖醇，山梨糖醇液	sorbitol and sorbitol syrup	19.006,19.023	420(i),420(ii)	甜味剂、膨松剂、乳化剂、水分保持剂、稳定剂、增稠剂	—、茶、酱油、糕点、食醋、饼干、食糖、月饼等	20~30 g/kg；部分类别按生产需要适量使用
203	双乙酸钠（又名二醋酸钠）	sodium diacetate	17.013	262(ii)	防腐剂	—、月饼、酱油、糕点、食醋、粉圆、原粮、豆干类等	1~10 g/kg
204	双乙酰酒石酸单双甘油酯（简称“DATEM”）	diacetyle tartaric acid esters of mono (di)glycerides (DATEM)	10.010	472e	乳化剂、增稠剂	—、茶、果泥、糕点、蜜饯、饼干、黄酒、面糊等	0.001~50 g/kg
200	司盘类[包括山梨醇酐单月桂酸酯（又名司盘20），山梨醇酐单棕榈酸酯（又名司盘40），山梨醇酐单硬脂酸酯（又名司盘60），山梨醇酐三硬脂酸酯（又名司盘65），山梨醇酐单油酸酯（又名司盘80）]	sorbitan esters of fatty acids, sorbitan monolaurate, sorbitan monopalmitate, sorbitan monostearate, sorbitan tristearate, sorbitan monooleate	10.024,10.008,10.003,10.004,10.005	493,495,491,492,494	乳化剂	—、糕点、饼干、月饼、面包、蛋卷、干酵母、调制乳等	0.5~15 g/kg
205	松香季戊四醇酯	pentaerythritol ester of wood rosin	14.005	—	被膜剂	经表面处理的鲜水果、经表面处理的新鲜蔬菜	≤0.09 g/kg
206	酸处理淀粉	acid treated starch	20.032	1401	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
207	酸性红（又名偶氮玉红）	carmoisine (azorubine)	08.013	122	着色剂	—、糖果、冷冻饮品、可可制品、胶基糖果、装饰糖果、其他冷冻饮品、冰淇淋、雪糕类等	≤0.05 g/kg
208	羧甲基淀粉钠	sodium carboxy methyl starch	20.012	—	增稠剂	果酱、面包、调味酱、酿造酱、方便米面制品、冰淇淋、雪糕类	0.02~15 g/kg
209	羧甲基纤维素钠	sodium carboxy methyl cellulose	20.003	466	增稠剂、稳定剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
210	索马甜	thaumatin	19.020	957	甜味剂	茶、—、月饼、糕点、蛋卷、咖啡、面包、饼干等	≤0.025 g/kg；部分类别按生产需要适量使用
211	碳酸铵	ammonium carbonate	06.009	503(i)	膨松剂	蛋卷、饼干、威化饼干、其他饼干、夹心及装饰类饼干	部分类别按生产需要适量使用
212	碳酸钙（包括轻质碳酸钙，重质碳酸钙）	calcium carbonate (light and heavy)	13.006	170(i)	膨松剂、面粉处理剂、稳定剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	≤0.03 g/kg；部分类别按生产需要适量使用
213	碳酸钾	potassium carbonate	01.301	501(i)	酸度调节剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	≤60 g/kg；部分类别按生产需要适量使用
214	碳酸镁（包括轻质碳酸镁，重质碳酸镁）	magnesium carbonate	13.005	504(i)	面粉处理剂、膨松剂、稳定剂、抗结剂	—、果蔬粉、小麦粉、固体饮料、速溶咖啡、通用小麦粉、专用小麦粉、蛋白固体饮料等	1.5~10 g/kg
215	碳酸钠	sodium carbonate	01.302	500(i)	酸度调节剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
216	碳酸氢铵	ammonium hydrogen carbonate	06.002	503(ii)	膨松剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
217	碳酸氢钾	potassium hydrogen carbonate	01.307	501(ii)	酸度调节剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
219	碳酸氢三钠（又名倍半碳酸钠）	sodium sesquicarbonate	01.305	500(iii)	酸度调节剂	—、月饼、糕点、蛋卷、饼干、淡炼乳、调制乳、稀奶油等	部分类别按生产需要适量使用
224	天门冬酰苯丙氨酸甲酯乙酰磺胺酸	aspartame-acesulfame salt	19.021	962	甜味剂	—、茶、酱油、食醋、糖果、果酱、咖啡、调味酱等	0.2~5 g/kg；部分类别按生产需要适量使用
225	天然胡萝卜素	natural carotene	08.147	160a(ii)	着色剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
226	天然苋菜红	natural amaranthus red	08.130	—	着色剂	—、果冻、蜜饯、糖果、果蔬汁、果糕类、配制酒、话化类等	≤0.25 g/kg
227	田菁胶	sesbania gum	20.021	—	增稠剂	面包、生干面制品、植物蛋白饮料、方便米面制品、冰淇淋、雪糕类、植物蛋白固体饮料	1~5 g/kg
228	甜菜红	beet red	08.101	162	着色剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
229	甜菊糖苷	steviol glycosides	19.008	960a	甜味剂	—、茶、酱油、糕点、食醋、蜜饯、饼干、月饼等	0.09~10 g/kg；部分类别按生产需要适量使用
106	吐温类[包括聚氧乙烯（20）山梨醇酐单月桂酸酯（又名吐温20），聚氧乙烯（20）山梨醇酐单棕榈酸酯（又名吐温40），聚氧乙烯（20）山梨醇酐单硬脂酸酯（又名吐温60），聚氧乙烯（20）山梨醇酐单油酸酯（又名吐温80）]	polysorbates, polyoxyethylene (20) sorbitan monolaurate, polyoxyethylene (20) sorbitan monopalmitate, polyoxyethylene (20) sorbitan monostearate, polyoxyethylene (20) sorbitan monooleate	10.025,10.026,10.015,10.016	432,434,435,433	乳化剂、稳定剂	茶、—、月饼、糕点、咖啡、面包、调味酱、饮料类等	0.5~5 g/kg
231	脱乙酰甲壳素（又名壳聚糖）	deacetylated chitin (chitosan)	20.026	—	增稠剂、被膜剂	肉灌肠类、西式火腿	≤6 g/kg
232	微晶纤维素	microcrystallin cellulose	02.005	460(i)	抗结剂、增稠剂、稳定剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
233	维生素E（包括dl-α-生育酚，d-α-生育酚，混合生育酚浓缩物）	vitamine E (dl-α-tocopherol , d-α- tocopherol , mixed tocopherol concentrate)	04.016	307	抗氧化剂	茶、—、面糊、咖啡、调味酱、果蔬汁、调味汁、植物油等	0.085~0.5 g/kg；部分类别按生产需要适量使用
234	稳定态二氧化氯	stabilized chlorine dioxide	17.028	926	防腐剂	鱼肉灌肠类、熟制水产品、熟干水产品、冷冻水产品、发酵水产品、冷冻挂浆制品、熏、烤水产品、水产及其制品等	0.01~0.05 g/kg
235	纤维素	cellulose	02.012	460	抗结剂、稳定剂和凝固剂、增稠剂	月饼、面糊、糕点、蛋卷、饼干、面包、调味酱、酿造酱等	部分类别按生产需要适量使用
236	苋菜红及其铝色淀（包括苋菜红，苋菜红铝色淀）	amaranth, amaranth aluminum lake	08.001	123	着色剂	—、果冻、蜜饯、糖果、果酱、果蔬汁、果蔬粉、果糕类等	0.025~0.3 g/kg
237	橡子壳棕	acorn shell brown	08.126	—	着色剂	配制酒、可乐型碳酸饮料	0.3~1 g/kg
239	辛，癸酸甘油酯	octyl and decyl glycerate	10.018	—	乳化剂	茶、—、糖果、咖啡、饮料类、果蔬粉、果蔬汁、固体饮料等	部分类别按生产需要适量使用
240	辛烯基琥珀酸淀粉钠	starch sodium octenyl succinate	10.030	1450	乳化剂，其他	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	≤150 g/kg；部分类别按生产需要适量使用
241	新红及其铝色淀（包括新红，新红铝色淀）	new red, new red aluminum lake	08.004	—	着色剂	糖果、果蔬汁、配制酒、胶基糖果、碳酸饮料、风味饮料、装饰糖果、装饰性果蔬等	0.05~0.1 g/kg
242	亚麻籽胶（又名富兰克胶）	linseed gum	20.020	—	增稠剂	茶、—、咖啡、肉松类、饮料类、果蔬粉、肉干类、糟肉类等	0.3~5 g/kg
243	亚铁氰化钾，亚铁氰化钠	potassium ferrocyanide, sodium ferrocyanide	02.001,02.008	536,535	抗结剂	盐及代盐制品	≤0.01 g/kg
245	胭脂虫红及其铝色淀（包括胭脂虫红，胭脂虫红铝色淀）	carmine cochineal, carmine cochineal aluminum lake	08.145	120	着色剂	—、茶、糕点、粉圆、饼干、面糊、月饼、果冻等	0.05~1 g/kg；部分类别按生产需要适量使用
247	胭脂树橙（又名红木素，降红木素）	annatto extracts	08.144	160b	着色剂	—、茶、糕点、粉圆、饼干、面糊、月饼、果冻等	0.01~0.6 g/kg；部分类别按生产需要适量使用
248	盐酸	hydrochloric acid	01.108	507	酸度调节剂	蛋黄酱、沙拉酱	部分类别按生产需要适量使用
249	杨梅红	mynica red	08.149	—	着色剂	茶、—、果冻、糖果、咖啡、饮料类、果蔬粉、果蔬汁等	0.1~0.2 g/kg
250	氧化淀粉	oxidized starch	20.030	1404	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
251	氧化羟丙基淀粉	oxidized hydroxypropyl starch	20.033	—	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
252	氧化铁黑，氧化铁红	iron oxide black, iron oxide red	08.014,08.015	172(i),172(ii)	着色剂	糖果和巧克力制品包衣	≤0.02 g/kg
253	叶黄素	lutein	08.146	161b(i)	着色剂	茶、—、月饼、果冻、糕点、蛋卷、糖果、咖啡等	0.05~0.15 g/kg
254	叶绿素铜	copper chlorophyll	08.153	141(i)	着色剂	月饼、糕点、蛋卷、面包、饼干、糖果、稀奶油、西式糕点等	部分类别按生产需要适量使用
255	叶绿素铜钠盐，叶绿素铜钾盐	chlorophyllin copper complex, sodium and potassium salts	08.009,08.155	141(ii)	着色剂	—、茶、糕点、粉圆、饼干、月饼、果冻、糖果等	≤0.5 g/kg；部分类别按生产需要适量使用
256	液体二氧化碳（煤气化法）	carbon dioxide	17.034	—	防腐剂	碳酸饮料、固体碳酸饮料、其他发酵酒类、可乐型碳酸饮料、其他型碳酸饮料、其他型固体碳酸饮料、可乐型固体碳酸饮料	部分类别按生产需要适量使用
257	乙二胺四乙酸二钠	disodium ethylene-diamine-tetra-acetate	18.005	386	稳定剂、凝固剂、抗氧化剂、防腐剂	茶、—、咖啡、果酱、调味酱、饮料类、果蔬粉、调味汁等	0.03~0.25 g/kg
258	乙二胺四乙酸二钠钙	calcium disodium ethylene-diamine-tetra-acetate	04.020	385	抗氧化剂	—、调味酱、调味汁、浓缩汤、固体汤料、复合调味料、肉汤、骨汤、鸡精、鸡粉等	≤0.075 g/kg
259	乙酸钠（又名醋酸钠）	sodium acetate	00.013	262(i)	酸度调节剂、防腐剂	—、调味酱、调味汁、浓缩汤、膨化食品、油炸肉类、肉灌肠类、固体汤料等	1~10 g/kg；部分类别按生产需要适量使用
260	乙酰化单、双甘油脂肪酸酯	acetylated mono- and diglyceride (acetic and fatty acid esters of glycerol)	10.027	472a	乳化剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
261	乙酰化二淀粉磷酸酯	acetylated distarch phosphate	20.015	1414	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
262	乙酰化双淀粉己二酸酯	acetylated distarch adipate	20.031	1422	增稠剂	—、茶、蔬菜、酱油、果泥、糕点、糟蛋、食醋等	部分类别按生产需要适量使用
264	乙氧基喹	ethoxy quin	17.010	324	防腐剂	经表面处理的鲜水果	部分类别按生产需要适量使用
266	异构化乳糖	isomerized lactose	00.003	—	其他	茶、—、蛋卷、咖啡、饼干、饮料类、果蔬粉、果蔬汁等	1.5~15 g/kg
267	异麦芽酮糖	isomaltulose (palatinose)	19.003	—	甜味剂	—、茶、糕点、蜜饯、饼干、月饼、糖果、果酱等	部分类别按生产需要适量使用
268	硬脂酸（又名十八烷酸）	stearic acid (octadecanoic acid)	14.009	570	被膜剂	糖果、可可制品、胶基糖果、装饰糖果、糖果和巧克力制品包衣、代可可脂巧克力及其制品、除胶基糖果以外的其他糖果、可可制品、巧克力和巧克力制品等	≤1.2 g/kg
269	硬脂酸钙	calcium stearate	10.039	—	乳化剂、抗结剂	固体汤料、香辛料及粉、鸡精、鸡粉、固体复合调味料、其他固体复合调味料	≤20 g/kg
270	硬脂酸钾	potassium stearate	10.028	—	乳化剂、抗结剂	月饼、糕点、西式糕点、中式糕点、香辛料及粉、糕点上彩装	0.18~20 g/kg
271	硬脂酸镁	magnesium stearate	02.006	470(iii)	乳化剂、抗结剂	—、蜜饯、糖果、果糕类、话化类、果脯类、可可制品、胶基糖果等	≤0.8 g/kg；部分类别按生产需要适量使用
272	硬脂酰乳酸钠，硬脂酰乳酸钙	sodium stearoyl lactylate, calcium stearoyl lactylate	10.011,10.009	481(i),482(i)	乳化剂、稳定剂	茶、月饼、糕点、蛋卷、咖啡、果酱、面包、饼干等	0.3~5 g/kg
274	玉米黄	corn yellow	08.116	—	着色剂	糖果、胶基糖果、氢化植物油、除胶基糖果以外的其他糖果	≤5 g/kg
275	越橘红	cowberry red	08.105	—	着色剂	—、果蔬汁、风味饮料、冷冻饮品、果蔬固体饮料、其他冷冻饮品、冰淇淋、雪糕类、风味冰、冰棍类等	部分类别按生产需要适量使用
276	藻蓝	spirulina blue	08.137	—	着色剂	—、果冻、糖果、果蔬汁、风味饮料、冷冻饮品、胶基糖果、香辛料及粉等	≤0.8 g/kg
277	皂荚糖胶	gleditsia sinenis lam gum	20.029	—	增稠剂	茶、—、酱油、食醋、咖啡、调味酱、饮料类、果蔬粉等	≤4 g/kg
278	皂树皮提取物	quillaia extract	10.042	999	乳化剂	果蔬汁、含乳饮料、蛋白饮料、碳酸饮料、风味饮料、乳酸菌饮料、蛋白固体饮料、果蔬固体饮料等	≤0.05 g/kg
279	蔗糖脂肪酸酯	sucrose esters of fatty acids	10.001	473	乳化剂	—、茶、酱油、糕点、食醋、饼干、面糊、鲜蛋等	1.5~10 g/kg
280	栀子黄	gardenia yellow	08.112	164	着色剂	—、酱油、糕点、食醋、饼干、月饼、果冻、糖果等	0.3~1.5 g/kg
281	栀子蓝	gardenia blue	08.123	165	着色剂	—、酱油、糕点、食醋、饼干、月饼、糖果、果酱等	0.2~1 g/kg
282	植酸（又名肌醇六磷酸），植酸钠	phytic acid (inositol hexaphosphoric acid), sodium phytate	04.006,04.025	391,—	抗氧化剂	—、果泥、蜜饯、果酱、果蔬汁、植物油、果糕类、糟肉类等	≤0.2 g/kg；部分类别按生产需要适量使用
283	植物炭黑	vegetable carbon	08.138	153	着色剂	—、月饼、糕点、蛋卷、粉圆、糖果、果酱、饼干等	1.5~5 g/kg；部分类别按生产需要适量使用
284	竹叶抗氧化物	antioxidant of bamboo leaves	04.019	—	抗氧化剂	茶、月饼、糕点、蛋卷、面包、饼干、果蔬汁、植物油等	≤0.5 g/kg
285	紫草红	gromwell red	08.140	—	着色剂	—、月饼、果酒、糕点、蛋卷、饼干、果蔬汁、西式糕点等	0.1~1 g/kg
286	紫甘薯色素	purple sweet potato colour	08.154	—	着色剂	—、糖果、果蔬汁、配制酒、冷冻饮品、胶基糖果、糕点上彩装、果蔬固体饮料等	0.1~0.2 g/kg
287	紫胶（又名虫胶）	shellac	14.001	904	被膜剂，胶姆糖基础剂、着色剂	可可制品、威化饼干、胶基糖果、胶原蛋白肠衣、经表面处理的鲜水果、代可可脂巧克力及其制品、除胶基糖果以外的其他糖果、巧克力和巧克力制品、除05.01.01以外的可可制品等	0.2~3 g/kg；部分类别按生产需要适量使用
288	紫胶红（又名虫胶红）	lac dye red (lac red)	08.104	—	着色剂	—、糖果、果酱、调味酱、果蔬汁、调味汁、配制酒、浓缩汤等	≤0.5 g/kg
289	混合三烯生育酚浓缩物	Mixed tocotrienol tocopherol concentrate			抗氧化剂	植物油、植物油脂、氢化植物油	≤0.2 g/kg
290	羟基酪醇	Hydroxytyrosol			抗氧化剂	植物油、植物油脂、氢化植物油	≤0.05 g/kg
